"","artist","Genres","Labels","Associated acts","Birth name","Born","Died","Instruments","Notable instruments","Occupation(s)","Origin","Years active","Members","Past members","Website","Also known as"
"65","The Minus 5","Pop rock","Yep Roc","Mark Eitzel, Robyn Hitchcock, R.E.M., Tuatara, Wilco, Young Fresh Fellows, The Decemberists, The Baseball Project, Tired Pony",NA,NA,NA,NA,NA,NA,"United States","1993–present","See List of Minus 5 members",NA,"www.minus5.com","The Bison-Flavored Minus 5, The Minus Tad"
"66","Slayer","Heavy metal
thrash metal
speed metal

[discuss]","Metal Blade
Def Jam
American
Nuclear Blast","Metallica
Megadeth
Anthrax
Exodus
Testament
Cannibal Corpse
Suicidal Tendencies
Sepultura",NA,NA,NA,NA,NA,NA,"Huntington Park, California, U.S.","1981–present","Kerry King
Tom Araya
Paul Bostaph
Gary Holt","Jeff Hanneman
Dave Lombardo
Jon Dette","slayer.net",NA
"67","PJ Harvey","Alternative rock
punk blues
art rock
indie rock
folk rock
experimental rock","Too Pure
Island (PolyGram)
Island (UMG)","Automatic Dlamini, Nick Cave and the Bad Seeds, Tricky, Sparklehorse, John Parish, Desert Sessions, Marianne Faithfull, Mark Lanegan, Mick Harvey, Thom Yorke","Polly Jean Harvey","(1969-10-09) 9 October 1969 (age 47)Bridport, Dorset, England",NA,"Vocals
guitar
bass
piano
keyboards
violin
cello
saxophone
autoharp
harmonica
accordion
melodica
drums
percussion","Notable instruments","Musician
singer-songwriter
composer
artist
writer
poet
actress",NA,"1988–present",NA,NA,"pjharvey.net","Polly Harvey"
"68","Ben Folds Five","Alternative rock, power pop, piano rock","Passenger, Caroline, 550","Fear of Pop
Hotel Lights
International Orange
Caleb Southern
Fleming and John",NA,NA,NA,NA,NA,NA,"Chapel Hill, North Carolina, U.S.","1993–2000, 2008, 2011–2013 (hiatus)","Ben Folds
Robert Sledge
Darren Jessee",NA,"benfoldsfive.com",NA
"69","Liz Phair","Alternative rock
indie rock
lo-fi
pop rock","Matador, Capitol, ATO, PAX AM","Urge Overkill
Ashtray Boy
Material Issue
The Smashing Pumpkins
Ryan Adams","Elizabeth Clark Phair","(1967-04-17) April 17, 1967 (age 50)New Haven, Connecticut, U.S.",NA,"Vocals, guitar, piano","Notable instruments","Singer-songwriter","Chicago, Illinois, U.S.","1990–present",NA,NA,NA,NA
"70","Sonic Youth","Noise rock
alternative rock
experimental rock
indie rock
post-punk
no wave[1][2]","Neutral
Sub Pop
Ecstatic Peace!
Blast First
Homestead
SST
Enigma
Geffen
DGC
SYR
Interscope
Matador",NA,NA,NA,NA,NA,NA,NA,"New York City, New York, U.S.","1981–2011",NA,"Kim Gordon
Thurston Moore
Lee Ranaldo
Richard Edson
Anne DeMarinis
Bob Bert
Jim Sclavunos
Steve Shelley
Jim O'Rourke
Mark Ibold","www.sonicyouth.com","Ciccone Youth"
"71","G. Love & Special Sauce","Alternative hip hop
blues rock
alternative rock
R&B","Brushfire, 550 Music, Okeh",NA,NA,NA,NA,NA,NA,NA,"Philadelphia, Pennsylvania, U.S.","1992–present","Garrett Dutton
Jeffrey Clemens
Jim Prescott","Mark Boyce
Timo Shanko",NA,NA
"72","Reel Big Fish","Ska punk, alternative rock, third wave ska","Mojo, Jive, Rock Ridge Music, BMG, Columbia","Less Than Jake, Save Ferris, The Littlest Man Band, The Forces of Evil, The Scholars, Jeffries Fan Club, Spring Heeled Jack USA, Aquabats, Suburban Rhythm, Nuckle Brothers, Zebrahead, Goldfinger",NA,NA,NA,NA,NA,NA,"Huntington Beach, California, United States","1991–present","Aaron Barrett
Matt AppletonDerek GibbsJohn Christianson
Billy Kottage
Edward Larsen","Matt Wong
Andrew Gonzales
Zach Gilltrap
Ben Guzman
Lisa SmithDan Regan
Tavis Werts
Adam PolakoffRobert Quimby
Stephan Reed
Eric VismantasScott KlopfensteinGrant Barry
Carlos de la Garza
Tyler Jones
Justin FerreiraRyland Steen","reel-big-fish.com",NA
"73","Massive Attack","Trip hop","Wild Bunch
Circa
Virgin","Shara Nelson
Gorillaz
Terry Callier
The Wild Bunch
Neneh Cherry
Tricky
Horace Andy
Young Fathers
Neil Davidge
Portishead
Damon Albarn
Burial
Peeping Tom
Martina Topley-Bird
Sinéad O'Connor
Elizabeth Fraser
Madonna",NA,NA,NA,NA,NA,NA,"Bristol, England, UK","1988–present","Robert Del Naja
Daddy G","Andrew Vowles","massiveattack.co.uk",NA
"74","Mudhoney","Alternative rock[1]
grunge[2]
garage punk[3]","Sub Pop
Reprise","Nirvana
Green River
Melvins
Mr. Epp and the Calculations
The Thrown Ups
Monkeywrench",NA,NA,NA,NA,NA,NA,"Seattle, Washington, United States","1988–present","Mark Arm
Steve Turner
Dan Peters
Guy Maddison","Matt Lukin",NA,NA
"75","Little Feat","Southern rock, blues rock, roots rock, funk rock, jazz rock, boogie rock, country rock, jam rock, swamp rock[1]","Rhino, Warner Bros., CMC International, Tower, Hot Tomato Imprint",NA,NA,NA,NA,NA,NA,NA,"Los Angeles, California","1969–1979, 1987–present","Bill PaynePaul BarrereSam ClaytonKenny GradneyFred TackettGabe Ford","Richie HaywardLowell GeorgeRoy EstradaCraig FullerShaun Murphy","www.littlefeat.net",NA
"76","Rocket from the Crypt","Punk rock, rock and roll","Cargo, Headhunter, Sympathy for the Record Industry, Perfect Sound, Interscope, Flapping Jet, Vagrant, Swami","Drive Like Jehu, Rice, Back Off Cupids, Beehive & the Barracudas, Stacatto Reads, The Black Heart Procession, Hot Snakes, Sultans, The Night Marchers",NA,NA,NA,NA,NA,NA,"San Diego, California, U.S.","1989–2005, 2011, 2013-present","SpeedoPetey XNDApollo 9JC 2000Ruby Mars","Elaina
SeanAtom","rftc.com",NA
"77","Chris Whitley","Blues rock, Blues","Columbia, Work, Messenger, Valley Entertainment, ATO, Legacy, Sony",NA,"Christopher Becker Whitley","(1960-08-31)August 31, 1960Houston, Texas","November 20, 2005(2005-11-20) (aged 45)
Houston, Texas","vocals, resonator guitar, guitar, banjo, dobro, foot stomp","Notable instruments","Musician, Songwriter",NA,"1983–2005",NA,NA,"www.chriswhitley.com",NA
"78","Gary Numan","Synth-pop[1][2]
new wave[3]
electronic[4][5]
industrial rock[6]","Atco
Beggars Banquet
Numa
NBR
Illegal
I.R.S.
Eagle
Machine Music Ltd.
Jagged Halo
Cooking Vinyl
Metropolis
Cleopatra
Mortal
BMG","Tubeway Army
Dramatis
Nine Inch Nails
Paul Gardiner
Bill Sharpe
The Wave Team
Fear Factory
Battles","Gary Anthony James Webb","(1958-03-08) 8 March 1958 (age 59)Hammersmith, London, England",NA,"Vocals
keyboards
guitar","Notable instruments","Singer
songwriter
composer
musician
record producer",NA,"1977–present",NA,NA,"garynuman.co.uk",NA
"79","The Jesus and Mary Chain","Alternative rock, noise pop, post-punk, shoegazing, indie pop, indie rock","Creation, Blanco y Negro, Sub Pop, Def American, Reprise (US), WEA",NA,NA,NA,NA,NA,NA,NA,"East Kilbride, Scotland","1983–1999, 2007–present","Jim ReidWilliam Reid
Scott Von RyperBrian YoungMark Crozer","Douglas HartMurray DalglishBobby GillespieLoz Colbert
Martin Hewes
James Pinker
Dave Evans
Richard ThomasBen Lurie
Matthew Parkin
Barry Blackler
Steve MontiNick Sanderson
Lincoln Fong
Duncan CameronJohn Moore
Phil King","thejesusandmarychain.uk.com",NA
"80","The Goo Goo Dolls","Alternative rock[1]
pop rock[2]
punk rock[1]","Warner Bros.
Metal Blade",NA,NA,NA,NA,NA,NA,NA,"Buffalo, New York, United States","1985–present","John Rzeznik
Robby Takac","George Tutuska
Mike Malinin","www.googoodolls.com",NA
"81","Paula Cole","Pop, rock [1]","Imago/Warner Bros. (1993–2003)Columbia (2003–2005)Decca (2006–2010)
675 Recordings (2013-Present)",NA,NA,"(1968-04-05) April 5, 1968 (age 49)",NA,"Vocals, piano, guitar, keyboard",NA,"Singer-songwriter","Rockport, Massachusetts, U.S.","1992–present",NA,NA,"Official site",NA
"82","Luscious Jackson","Alternative rock, alternative hip hop, indie rock","Grand Royal, Capitol",NA,NA,NA,NA,NA,NA,NA,"Manhattan, New York, USA","1991–2000, 2011–present","Jill CunniffGabby GlaserKate Schellenbach","Vivian Trimble","www.lusciousjackson.us",NA
"83","Trey Anastasio","Alternative rock, rock, jazz fusion, progressive rock, classical, funk, blues, bluegrass","Elektra, Sony, Rubber Jungle, Sony BMG, JEMP, MapleMusic Recordings (Canada)","Phish, Trey Anastasio Band, Oysterhead, Dave Matthews and Friends, Phil Lesh and Friends, Surrender to the Air, Eight Foot Fluorescent Tubes, Space Antelope, SerialPod, Bivouac Jaun, Bad Hat, New York Philharmonic, Orchestra Nashville, Baltimore Symphony Orchestra, The Grateful Dead","Ernest Joseph Anastasio III","(1964-09-30) September 30, 1964 (age 52)Fort Worth, Texas, U.S.",NA,"Vocals, guitar, keyboards, percussion, drums, Marimba Lumina","Notable instruments",NA,NA,"1982–present",NA,NA,"www.trey.com","Big Red, the Bad Lieutenant, Giuseppe, The Skinny Guinea, Troy, Matt Altaro"
"84","The Sisters Of Mercy","Gothic rock[1]
post-punk[2][3]","Merciful Release
EastWest
Rhino","The Sisterhood
The Mission
Ghost Dance
The March Violets",NA,NA,NA,NA,NA,NA,"Leeds, West Yorkshire, England","1980–1985
1987–1993
1995–present","Andrew EldritchChris Catalyst
Ben Christo","See personnel section","www.the-sisters-of-mercy.com",NA
"85","GusGus","Electronic music","4AD, Kompakt",NA,NA,NA,NA,NA,NA,NA,"Reykjavík, Iceland","1995–present","Daníel Ágúst Haraldsson
Högni Egilsson
Birgir Þórarinsson",NA,"gusgus.com",NA
"86","Counting Crows","Rock","Capitol Records, Geffen, Cooking Vinyl","Sordid Humor, The Himalayans",NA,NA,NA,NA,NA,NA,"Berkeley, California, United States","1991 (1991)–present","Adam DuritzDavid BrysonCharlie GillinghamDan VickreyDavid ImmerglückJim BogiosMillard Powers","Steve BowmanBen MizeMatt Malley","countingcrows.com",NA
"87","Sebadoh","Indie rock, lo-fi","Joyful Noise
Domino
Sub Pop
Homestead
City Slang
Siltbreeze
Vertical","Dinosaur Jr.
The Folk Implosion
Sentridoh
The Fiery Furnaces",NA,NA,NA,NA,NA,NA,"Westfield, Massachusetts, United States","1986–present","Lou BarlowJason LoewensteinBob D'Amico","Eric Gaffney
Bob FayRussell Pollard","sebadoh.com",NA
"88","Rage Against The Machine","Rap metal
funk metal
alternative metal
nu metal
rap rock","Epic
Revelation","Audioslave
One Day as a Lion
The Nightwatchman
WAKRAT
Prophets of Rage
The Last Internationale",NA,NA,NA,NA,NA,NA,"Los Angeles, California, U.S.","1991–2000, 2007–2011 (hiatus)","Zack de la RochaTom MorelloTim CommerfordBrad Wilk",NA,"ratm.com",NA
"89","Mercury Rev","Indie rock[1]
chamber pop[2]
neo-psychedelia[3]
avant-pop[4]
psychedelic pop[4]","Jungle
Rough Trade
Columbia
Beggars Banquet
V2
Yep Roc","The Flaming Lips",NA,NA,NA,NA,NA,NA,"Buffalo, New York, United States","1989–present","Jonathan Donahue
Grasshopper
Carlos Anthony Molina
Jason Miranda","David Baker
John DeVries
Jeff Mercel
Gerald Menke
Suzanne Thorpe
Jimy Chambers
Justin Russo
Jason Russo
Adam Snyder
Michael Schirmer
Dave Fridmann
Paul Dillon","mercuryrev.com",NA
"90","Morcheeba","Trip hop
electronica
alternative rock
R&B
downtempo","Indochina
Echo
Sire
Reprise
Warner Bros. Records
Discovery",NA,NA,NA,NA,NA,NA,NA,"London, England","1995–present","Paul Godfrey
Ross GodfreySkye Edwards",NA,"morcheeba.co.uk[dead link]",NA
"91","Soulfly","Groove metal
thrash metal
death metal
nu metal (early)","Nuclear Blast, Roadrunner","Sepultura
Misfits
Ministry
Cavalera Conspiracy
Prong
Primer 55
Nação Zumbi
Possessed
Killer Be Killed
Asesino
Marc Rizzo & The Corrupters
Attika 7
Buck Satan and the 666 Shooters
Lody Kong",NA,NA,NA,NA,NA,NA,"Phoenix, Arizona, U.S.","1997–present","Max CavaleraMarc RizzoZyon Cavalera
Mike Leon","Marcelo ""Cello"" DiasRoy Mayorga
Lúcio MaiaLogan MaderMikey Doling
Joe Nunez
Bobby BurnsDavid KinkadeTony Campos","www.soulfly.com",NA
"92","Atari Teenage Riot","Digital hardcore, experimental, noise, industrial","Digital Hardcore, Phonogram, Grand Royal, Dim Mak",NA,NA,NA,NA,NA,NA,NA,"Berlin, Germany","1992–2000, 2010–present[1]","Alec EmpireNic EndoCX KiDTRONiKRowdy Superstar","Hanin EliasCarl Crack",NA,NA
"93","Dead Can Dance","Neoclassical dark wave, world, gothic rock","4AD, Warner Bros., Rhino/Atlantic, Rykodisc, PIAS","The Scavengers, The Marching Girls, Junk Logic, Microfilm, Heavenly Bodies, Pieter Bourke",NA,NA,NA,NA,NA,NA,"Melbourne, Australia","1981–1998, 2005, 2011–present","Lisa GerrardBrendan Perry","Paul Erikson
Simon Monroe
James Pinker
Scott RodgerPeter Ulrich","www.deadcandance.com",NA
"94","Mojave 3","Dream pop, indie rock, alternative country, folk","4AD","Slowdive, Chapterhouse, The Loose Salute, Air Cuba",NA,NA,NA,NA,NA,NA,"United Kingdom","1995–present
(currently on hiatus)","Neil HalsteadRachel Goswell
Ian McCutcheon
Simon Rowe
Alan Forrester",NA,"http://www.mojave3online.com/",NA
"95","Bloodhound Gang","Alternative rock
comedy rock
alternative hip hop
electronica
punk rock
rap rock
rapcore","Columbia
SME
Geffen
Interscope
Universal","Wolfpac
The Dicamillo Sisters
A
Federal Moguls",NA,NA,NA,NA,NA,NA,"King of Prussia, Pennsylvania, U.S.","1988–2015 (on hiatus)","Jimmy Pop
Jared Hasselhoff
Q-Ball
The Yin
Daniel P. Carter","Daddy Long Legs
Bubba K. Love
Foof
Skip O'Pot2Mus
Lupus Thunder
M.S.G.
Tard-E-Tard
Spanky G
Willie The New Guy","bloodhoundgang.com","Bang Chamber 8"
"96","Tenacious D","Comedy rock
heavy metal
hard rock
acoustic rock","Epic
Columbia","Trainwreck
Kyle Gass Band",NA,NA,NA,NA,NA,NA,"Los Angeles, California, USA","1994–present","Jack BlackKyle GassJohn KoneskyJohn Spiker
Scott Seiver","Warren Fitzgerald
Steve McDonaldBrooks Wackerman","www.tenaciousd.com","The D"
"97","Remy Zero","Alternative rock","Capitol, DGC, Warner/Elektra","Spartan Fidelity",NA,NA,NA,NA,NA,NA,"Birmingham, Alabama, United States","1989–2003, 2010",NA,"Gregory Slay (deceased)
Cinjun Tate
Shelby Tate
Jeffrey Cain
Cedric LeMoyneLouis Schefano[1]","http://remyzero.com/",NA
"98","Chemical Brothers","Big beat
electronica[2]
techno
trip hop
house","Junior Boy's Own
Astralwerks
Freestyle Dust
Virgin
Ultra",NA,NA,NA,NA,NA,NA,NA,"Manchester, England,[1] United Kingdom","1989–present","Tom Rowlands
Ed Simons",NA,"thechemicalbrothers.com","The Dust Brothers
The 237 Turbo Nutters
Chemical Bros.
Chemical Ed & Chemical Tom (respectively)"
"99","Alice Cooper","Hard rock
heavy metal
shock rock
glam rock","Straight
Warner Bros.
Atlantic
MCA
Epic
Spitfire
Steamhammer
UMe","Alice Cooper
The Spiders
Hollywood Vampires
The Earwigs
The Nazz","Vincent Damon Furnier","(1948-02-04) February 4, 1948 (age 69)Detroit, Michigan, U.S.",NA,"Vocals",NA,"Singer
songwriter
actor","Phoenix, Arizona, U.S.","1963–present",NA,NA,"alicecooper.com",NA
"100","Siouxsie & The Banshees","Post-punk
gothic rock
alternative rock
new wave","Polydor
Geffen
Sanctuary","The Creatures
The Cure
the Glove",NA,NA,NA,NA,NA,NA,"London, England","1976–1996, 2002",NA,"Siouxsie SiouxSteven SeverinMarco PirroniSid ViciousKenny Morris
Peter FentonJohn McKayBudgieRobert SmithJohn McGeochJohn Valentine CarruthersMartin McCarrickJon KleinKnox Chandler","siouxsieandthebanshees.co.uk","Janet and the Icebergs"
"101","The Cranberries","Alternative rock
Celtic rock
dream pop
jangle pop","Xeric
Island
Universal
Downtown
Cooking Vinyl
BMG","Jetlag",NA,NA,NA,NA,NA,NA,"Limerick, Ireland","1989–2003
2009–present","Dolores O'Riordan
Noel Hogan
Mike Hogan
Fergal Lawler","Niall Quinn","cranberries.com","The Cranberry Saw Us
(1989–1991)"
"102","Rusted Root","Roots rock,[1]worldbeat[1]","Mercury/Island/Touchy Pegg",NA,NA,NA,NA,NA,NA,NA,"Pittsburgh, Pennsylvania, United States","1990–present","Michael Glabicki
Patrick Norman
Liz Berlin
Zil Fessler
Dirk Miller","Jim DiSpiritoJim Donovan
Jenn Wertz
John Buynak
Ethan Winograd
Preach Freedom
Colter Harper
Jason Miller
Nery Arevalo
Cory Caruso","RustedRoot.com",NA
"103","The Cult","Hard rock
gothic rock (early)
post-punk (early)
heavy metal[1]","Situation Two
Beggars Banquet
Atlantic
Roadrunner
Sire
Warner Bros.
Aderra
Cooking Vinyl
Dine Alone Records","Southern Death Cult
Theatre of Hate
Death Cult
Guns N' Roses",NA,NA,NA,NA,NA,NA,"Bradford, West Yorkshire, England","1983 (1983)–1995
1999–2002
2006–present","Ian AstburyBilly DuffyJohn TempestaGrant FitzpatrickDamon Fox",NA,"thecult.us",NA
"104","Guided By Voices","Indie rock, lo-fi","Scat, Matador, TVT, Guided by Voices, Inc., Fire","Airport 5, The Breeders, Cobra Verde, Circus Devils, Death of Samantha, Shudder to Think",NA,NA,NA,NA,NA,NA,"Dayton, Ohio, United States","1983–2004, 2010–2014, 2016–present","Robert PollardKevin MarchBobby Bare, Jr.Doug Gillard
Mark Shue
Travis Harrison","Mitch MitchellTobin Sprout
Jim PollardKevin Fennell
Don ThrasherGreg Demos
Dave SwansonJim Macpherson
Nate Farley
Tim Tobias
Dan TooheyJames Greer
Chris Slusarenko
Jon McCann
Paul Comstock
Nick Mitchell","gbv.com",NA
"105","Burning Spear","Reggae, dub","Studio One, Island, EMI, Heartbeat, Slash/Warner Bros., Burning Music",NA,"Winston Rodney","(1945-03-01) 1 March 1945 (age 72)
Saint Ann's Bay, Saint Ann, Jamaica",NA,NA,NA,NA,NA,"1969–present",NA,NA,"www.burningspear.net",NA
"106","Jamiroquai","Funk[1]
acid jazz[2]
jazz-funk[3]
nu-funk[4]
pop[5]
disco-rock[6]","Acid Jazz
Sony Soho Square
Columbia
Work
Epic
Universal
Mercury
Virgin EMI","Brand New Heavies
Guru
Julian Perretta
Beverley Knight
Radio Silence
Anastacia",NA,NA,NA,NA,NA,NA,"London, England","1992–present","Jay Kay
Derrick McKenzie
Sola Akingbola
Rob Harris
Matt Johnson
Paul Turner
Nate Williams",NA,"jamiroquai.com",NA
"107","Lunachicks","Punk rock, hardcore punk, riot grrrl","Blast First, Go Kart Records","Theo & the SkyscrapersGina Volpe (solo)Bantam
Team Squid
Suicide King
Devil Kit
Blare Bitch Project
Lez Zeppelin
Toilet Boys",NA,NA,NA,NA,NA,NA,"New York City, USA","1988-2000, 2002, 2004",NA,"Theo KoganGina Volpe
Sidney ""Squid"" Silver
Sindi Benezra Valsamis
Becky Wreck
Chip English
Helen DestroyKate Schellenbach",NA,NA
"108","The Distillers","Punk rock,[1]hardcore punk,[1]street punk[2][3][4]","Sire, Epitaph, Hellcat","Spinnerette, Darker My Love, The Nerve Agents, Angels & Airwaves, Love Equals Death, Rancid",NA,NA,NA,NA,NA,NA,"Los Angeles, California, US","1998—2006",NA,"Brody DalleTony BevilacquaRyan SinnAndy GranelliRose Mazzola
Kim Chi
Mat Young",NA,NA
"109","Moby","Electronica
ambient
dance
punk rock","Little Idiot
Mute
V2
BMG
XL
Elektra
Instinct
Outer Rhythm
Virgin
EMI
Manimal","Vatican Commandos
Mylène Farmer
Recoil","Richard Melville Hall","(1965-09-11) September 11, 1965 (age 52)Harlem, New York, U.S.",NA,"Turntables
keyboards
synthesizer
drum machine
vocals
guitar
bass
drums",NA,"DJ
record producer
singer
songwriter
musician
photographer
animal rights activist","Darien, Connecticut, U.S.
New York City, U.S.","1978–present",NA,NA,"moby.com","Voodoo Child
Barracuda
Lopez
DJ Cake
Brainstorm
Mindstorm
UHF"
"110","Robyn Hitchcock","Alternative rock, jangle pop, psychedelic folk, post-punk","Yep Roc RecordsRhino RecordsSlash RecordsRelativity RecordsA&M RecordsSequel Records","The Soft BoysRobyn Hitchcock and the EgyptiansThe Venus 3I Was A KingEmma Swift",NA,"(1953-03-03) 3 March 1953 (age 64)Paddington, London, UK",NA,"Vocals, guitar, piano, harmonica, bass",NA,"Musician, actor",NA,NA,NA,NA,"robynhitchcock.com",NA
"111","Ani DiFranco","Folk rock, alternative rock, punk rock","Righteous Babe",NA,"Angela Maria DiFranco[1]","(1970-09-23) September 23, 1970 (age 47)Buffalo, New York, United States",NA,"Guitar, bass guitar, tenor guitar, vocals, percussion, piano",NA,"Musician, singer-songwriter, poet",NA,"1989–present",NA,NA,"anidifranco.com",NA
"112","Moxy Fruvous","Folk rock, comedy rock","Warner Music Canada, Bottom Line, Atlantic",NA,NA,NA,NA,NA,NA,NA,"Thornhill, Ontario, Canada","1989 (1989)–2001 (2001)","Jian GhomeshiMurray FosterMike FordDave Matheson",NA,"fruvous.com",NA
"113","Morrissey","Alternative rock[1]
indie pop[2]
indie rock[3]
jangle pop[4]","HMV
Parlophone
Sire
RCA
Reprise
Mercury
Island
Attack
Sanctuary
Decca
Lost Highway
Major Minor
Liberty
Harvest
BMG","The Smiths
The Nosebleeds
Slaughter & The Dogs","Steven Patrick Morrissey","(1959-05-22) 22 May 1959 (age 58)Davyhulme, Lancashire, England",NA,"Vocals",NA,"Singer-songwriter
lyricist
novelist",NA,"1977–present",NA,NA,NA,NA
"114","The Disco Biscuits","Trance fusion, livetronica, jam band","Independent Label Group/Diamond Riggs",NA,NA,NA,NA,NA,NA,NA,"Philadelphia, Pennsylvania, USA","1995–present","Jon GutwilligMarc Brownstein
Allen AucoinAron Magner","Sam Altman","http://www.discobiscuits.com",NA
